"time","genotype","predicted.values","standard.errors"
"2018-05-31 16:37:00","1",0.67361182056622,0.0114324663168147
"2018-05-31 16:37:00","1016",0.668955912495097,0.0112871804283265
"2018-05-31 16:37:00","1060",0.658277657560168,0.0113095284789071
"2018-05-31 16:37:00","1070",0.599388036391172,0.0111878876926643
"2018-05-31 16:37:00","1098",0.649169114866398,0.0112460196923543
"2018-05-31 16:37:00","1135",0.668023044623401,0.0113279990992351
"2018-05-31 16:37:00","1147",0.661487386007449,0.0111718338070122
"2018-05-31 16:37:00","1157",0.65049706684655,0.0112430834027924
"2018-05-31 16:37:00","1166",0.638892579667994,0.0113134766640211
"2018-05-31 16:37:00","1206",0.646782170244375,0.0112166428958793
"2018-05-31 16:37:00","1210",0.667859662840124,0.0112471991328873
"2018-05-31 16:37:00","1212",0.651993213924381,0.011277057461489
"2018-05-31 16:37:00","1214",0.661198527400792,0.0113371494214973
"2018-05-31 16:37:00","1217",0.667068856019813,0.0111858515584845
"2018-05-31 16:37:00","1220",0.657806387902738,0.0113276232872385
"2018-05-31 16:37:00","1222",0.650121861479588,0.0112005363607923
"2018-05-31 16:37:00","1223",0.658575994689807,0.0112192059381402
"2018-05-31 16:37:00","1224",0.668750789532674,0.0111874234016803
"2018-05-31 16:37:00","1228",0.656949494014129,0.0112745003237987
"2018-05-31 16:37:00","1229",0.66195457317762,0.0111052289824328
"2018-05-31 16:37:00","1289",0.668230082964553,0.0113170054960513
"2018-05-31 16:37:00","1290",0.667836798380547,0.0119215511806816
"2018-05-31 16:37:00","1293",0.667502018226008,0.011339510347869
"2018-05-31 16:37:00","1296",0.671910124580533,0.0112337704846085
"2018-05-31 16:37:00","1302",0.666614028785902,0.0112604127557484
"2018-05-31 16:37:00","1304",0.682454523622457,0.0114446472106314
"2018-05-31 16:37:00","1308",0.651839372843033,0.0112296394473628
"2018-05-31 16:37:00","1313",0.667828552844508,0.0113755379352145
"2018-05-31 16:37:00","1333",0.672377874981803,0.0111971419707189
"2018-05-31 16:37:00","1335",0.676686668849816,0.0112569868628424
