"timePoint","genotype","predicted.values","standard.errors"
2018-05-31 16:37:00,"1",0.659000386899484,0.010697576853529
2018-05-31 16:37:00,"1016",0.653837840012153,0.0105313232816535
2018-05-31 16:37:00,"1060",0.64213519992398,0.0105707521848461
2018-05-31 16:37:00,"1070",0.576829065002087,0.0104094593256386
2018-05-31 16:37:00,"1098",0.631878821816862,0.0104767031954783
2018-05-31 16:37:00,"1135",0.652810697996871,0.0105925335520625
2018-05-31 16:37:00,"1147",0.645611758079919,0.0104024612314892
2018-05-31 16:37:00,"1157",0.633480417056027,0.0104497009905389
2018-05-31 16:37:00,"1166",0.620553673747482,0.0105437248380836
2018-05-31 16:37:00,"1206",0.629239544529974,0.0104423369941544
2018-05-31 16:37:00,"1210",0.652698430612211,0.0104597971494161
2018-05-31 16:37:00,"1212",0.635103719122721,0.0104869692218023
2018-05-31 16:37:00,"1214",0.645293128222531,0.010565255117212
2018-05-31 16:37:00,"1217",0.651781632581449,0.0103928177553378
2018-05-31 16:37:00,"1220",0.641386487900199,0.0105622646714274
2018-05-31 16:37:00,"1222",0.632926495179797,0.0104087851989572
2018-05-31 16:37:00,"1223",0.642321104027772,0.0104405109819995
2018-05-31 16:37:00,"1224",0.65361669453654,0.0103992756250723
2018-05-31 16:37:00,"1228",0.640634006205141,0.0105001865312414
2018-05-31 16:37:00,"1229",0.646217189282567,0.0102786053434607
2018-05-31 16:37:00,"1289",0.652966423676267,0.0105460968349314
2018-05-31 16:37:00,"1290",0.652654991226244,0.011354852482587
2018-05-31 16:37:00,"1293",0.652158015975714,0.0105832075489033
2018-05-31 16:37:00,"1296",0.657041180781598,0.0104405456104833
2018-05-31 16:37:00,"1302",0.651183433642316,0.0105041694058674
2018-05-31 16:37:00,"1304",0.668742722900555,0.0107386755651676
2018-05-31 16:37:00,"1308",0.634925513201905,0.0104638458242539
2018-05-31 16:37:00,"1313",0.652477202704546,0.0106499747327642
2018-05-31 16:37:00,"1333",0.657746755422855,0.0104048413895379
2018-05-31 16:37:00,"1335",0.662450670408657,0.0104869939315348
2018-05-31 16:37:00,"1341",0.63906982708095,0.0103396408515271
2018-05-31 16:37:00,"1361",0.645319131458644,0.0103852769191397
2018-05-31 16:37:00,"1363",0.643397452553005,0.0105353073493447
2018-05-31 16:37:00,"1364",0.660474825519451,0.010375876870588
2018-05-31 16:37:00,"1366",0.629241056226568,0.0101939110843217
2018-05-31 16:37:00,"1378",0.661404521282008,0.0104632502074843
2018-05-31 16:37:00,"1382",0.6433266843283,0.0106190562133067
2018-05-31 16:37:00,"1395",0.64383147024306,0.0104895463988751
2018-05-31 16:37:00,"1396",0.647737702713978,0.0104821758401443
2018-05-31 16:37:00,"1400",0.646000059656521,0.0103774880563757
2018-05-31 16:37:00,"1434",0.655134969141351,0.0104019358436162
2018-05-31 16:37:00,"1459",0.65185965255188,0.0110254423506013
2018-05-31 16:37:00,"1463",0.649627565536238,0.0104418222580801
2018-05-31 16:37:00,"1466",0.654152798397707,0.0105720126445284
2018-05-31 16:37:00,"1467",0.663443841824324,0.0104540839151162
2018-05-31 16:37:00,"1470",0.650987462318125,0.0105344975424877
2018-05-31 16:37:00,"1473",0.639414599572779,0.0105520766395331
2018-05-31 16:37:00,"1476",0.649453756019513,0.0105147197046613
2018-05-31 16:37:00,"1483",0.645655797872869,0.0105392965857438
2018-05-31 16:37:00,"1509",0.639893978563643,0.010331451012318
2018-05-31 16:37:00,"1512",0.660342241297703,0.0104326715649368
2018-05-31 16:37:00,"1536",0.646560448210863,0.0104001879831505
2018-05-31 16:37:00,"1551",0.639532770693144,0.0103664048074402
2018-05-31 16:37:00,"1587",0.650888184365297,0.0104212952690158
2018-05-31 16:37:00,"1594",0.657642733786311,0.0104846425192552
2018-05-31 16:37:00,"1612",0.585150639809105,0.0106587270702865
2018-05-31 16:37:00,"1630",0.653675709808572,0.0107036416456197
2018-05-31 16:37:00,"1637",0.656803150957267,0.010517980383746
2018-05-31 16:37:00,"1657",0.655235882737999,0.0104804959884134
2018-05-31 16:37:00,"1658",0.663359530779025,0.0104665852956388
2018-05-31 16:37:00,"1672",0.65312675912562,0.0105771682383532
2018-05-31 16:37:00,"1675",0.652144715143723,0.0103829031070044
2018-05-31 16:37:00,"1683",0.641720064312772,0.0108718805820765
2018-05-31 16:37:00,"1687",0.65554796655215,0.0106138925497241
2018-05-31 16:37:00,"1689",0.647611445755278,0.0105694871693469
2018-05-31 16:37:00,"1692",0.655602212164507,0.0104800982254525
2018-05-31 16:37:00,"1696",0.638972992076854,0.0105649550720197
2018-05-31 16:37:00,"1704",0.658264917038291,0.0108852411661453
2018-05-31 16:37:00,"1716",0.630667744847306,0.0106630743754613
2018-05-31 16:37:00,"1724",0.644666824655094,0.0107998285106196
2018-05-31 16:37:00,"1726",0.652404496151025,0.0105322630117633
2018-05-31 16:37:00,"1728",0.656236183880067,0.010421712345431
2018-05-31 16:37:00,"1774",0.654523994010877,0.0104547510393125
2018-05-31 16:37:00,"1775",0.657490675171046,0.0104943213343135
2018-05-31 16:37:00,"1780",0.651376474863745,0.0105685293468242
2018-05-31 16:37:00,"18",0.660308493585624,0.0107087410157339
2018-05-31 16:37:00,"1824",0.639607314434191,0.0103563333174547
2018-05-31 16:37:00,"1827",0.629629592674111,0.0104405954194907
2018-05-31 16:37:00,"184",0.654718918544391,0.0105939735467792
2018-05-31 16:37:00,"1845",0.638501169601036,0.0103545902045535
2018-05-31 16:37:00,"1869",0.658286124455454,0.0105635888186228
