"newTrait","genotype","time","Sowing_Block","Image_pos","colNum","rowNum","colId","rowId","plotId","timePoint"
0.688748328104433,"85",1,"6","2b",20,11,"20","11","c20r11",2018-05-31 16:37:00
0.688028220850766,"1467",1,"6","2c",21,11,"21","11","c21r11",2018-05-31 16:37:00
0.641400675342347,"1302",1,"6","2a",22,11,"22","11","c22r11",2018-05-31 16:37:00
0.680159857491754,"1434",1,"6","2b",23,11,"23","11","c23r11",2018-05-31 16:37:00
0.635404066247006,"1228",1,"6","2c",24,11,"24","11","c24r11",2018-05-31 16:37:00
0.645649442348356,"1313",1,"1","2c",3,11,"3","11","c3r11",2018-05-31 16:37:00
0.680242586589001,"1728",1,"1","2a",4,11,"4","11","c4r11",2018-05-31 16:37:00
0.639870793262133,"2109",1,"1","2b",5,11,"5","11","c5r11",2018-05-31 16:37:00
0.627878623035393,"2214",1,"1","2c",6,11,"6","11","c6r11",2018-05-31 16:37:00
0.657630181229306,"1983",1,"1","2a",7,11,"7","11","c7r11",2018-05-31 16:37:00
0.636154669000437,"1206",1,"1","2b",8,11,"8","11","c8r11",2018-05-31 16:37:00
0.661106826656368,"1683",1,"1","2c",9,11,"9","11","c9r11",2018-05-31 16:37:00
0.649955251802,"1222",1,"1","1a",1,12,"1","12","c1r12",2018-05-31 16:37:00
0.678272266563681,"1692",1,"1","1a",10,12,"10","12","c10r12",2018-05-31 16:37:00
0.612859620168607,"2356",1,"1","1b",11,12,"11","12","c11r12",2018-05-31 16:37:00
0.613235446306115,"1827",1,"1","1c",12,12,"12","12","c12r12",2018-05-31 16:37:00
0.676109479044286,"1959",1,"6","1a",13,12,"13","12","c13r12",2018-05-31 16:37:00
0.647444887322202,"1016",1,"6","1b",14,12,"14","12","c14r12",2018-05-31 16:37:00
0.548821256503422,"784",1,"6","1c",15,12,"15","12","c15r12",2018-05-31 16:37:00
0.60750328333667,"1308",1,"6","1a",16,12,"16","12","c16r12",2018-05-31 16:37:00
0.646648707383704,"2390",1,"6","1b",17,12,"17","12","c17r12",2018-05-31 16:37:00
0.647162388231172,"1942",1,"6","1c",18,12,"18","12","c18r12",2018-05-31 16:37:00
0.651417363568576,"2360",1,"6","1a",19,12,"19","12","c19r12",2018-05-31 16:37:00
0.609669782383475,"1509",1,"1","1b",2,12,"2","12","c2r12",2018-05-31 16:37:00
0.641416034233743,"1459",1,"6","1b",20,12,"20","12","c20r12",2018-05-31 16:37:00
0.663690631761281,"col",1,"6","1c",21,12,"21","12","c21r12",2018-05-31 16:37:00
0.686241746269633,"2395",1,"6","1a",22,12,"22","12","c22r12",2018-05-31 16:37:00
0.643947818798476,"1210",1,"6","1b",23,12,"23","12","c23r12",2018-05-31 16:37:00
0.645193561010736,"1827",1,"6","1c",24,12,"24","12","c24r12",2018-05-31 16:37:00
0.686505752325831,"1463",1,"1","1c",3,12,"3","12","c3r12",2018-05-31 16:37:00
0.645185712279331,"2406",1,"1","1a",4,12,"4","12","c4r12",2018-05-31 16:37:00
0.692668185959343,"1845",1,"1","1b",5,12,"5","12","c5r12",2018-05-31 16:37:00
0.648586477333199,"1942",1,"1","1c",6,12,"6","12","c6r12",2018-05-31 16:37:00
0.668432077565022,"2203",1,"1","1a",7,12,"7","12","c7r12",2018-05-31 16:37:00
0.608821672306078,"1400",1,"1","1b",8,12,"8","12","c8r12",2018-05-31 16:37:00
0.627697751353597,"2054",1,"1","1c",9,12,"9","12","c9r12",2018-05-31 16:37:00
0.643024333071291,"1293",1,"1","4a",1,13,"1","13","c1r13",2018-05-31 16:37:00
0.667949636264972,"2031",1,"1","4a",10,13,"10","13","c10r13",2018-05-31 16:37:00
0.68670279609106,"1637",1,"1","4b",11,13,"11","13","c11r13",2018-05-31 16:37:00
0.65900073700804,"evo1",1,"1","4c",12,13,"12","13","c12r13",2018-05-31 16:37:00
0.656740459431289,"2405",1,"6","4a",13,13,"13","13","c13r13",2018-05-31 16:37:00
0.617261676715077,"816",1,"6","4b",14,13,"14","13","c14r13",2018-05-31 16:37:00
0.657580253620893,"1696",1,"6","4c",15,13,"15","13","c15r13",2018-05-31 16:37:00
0.721147953005124,"2394",1,"6","4a",16,13,"16","13","c16r13",2018-05-31 16:37:00
0.634498003711689,"1824",1,"6","4b",17,13,"17","13","c17r13",2018-05-31 16:37:00
0.6709706644042,"1947",1,"6","4c",18,13,"18","13","c18r13",2018-05-31 16:37:00
0.708126170852556,"1774",1,"6","4a",19,13,"19","13","c19r13",2018-05-31 16:37:00
0.62187846714129,"1229",1,"1","4b",2,13,"2","13","c2r13",2018-05-31 16:37:00
0.646343777870717,"1400",1,"6","4b",20,13,"20","13","c20r13",2018-05-31 16:37:00
0.659592139973955,"1476",1,"6","4c",21,13,"21","13","c21r13",2018-05-31 16:37:00
0.611058132496245,"1726",1,"6","4a",22,13,"22","13","c22r13",2018-05-31 16:37:00
0.625994964595294,"1224",1,"6","4b",23,13,"23","13","c23r13",2018-05-31 16:37:00
0.625222447745114,"1509",1,"6","4c",24,13,"24","13","c24r13",2018-05-31 16:37:00
0.611602760834262,"1147",1,"1","4c",3,13,"3","13","c3r13",2018-05-31 16:37:00
0.667107589671005,"1724",1,"1","4a",4,13,"4","13","c4r13",2018-05-31 16:37:00
0.528728958553773,"ely",1,"1","4b",5,13,"5","13","c5r13",2018-05-31 16:37:00
0.672537277446723,"1704",1,"1","4c",6,13,"6","13","c6r13",2018-05-31 16:37:00
0.655212938694007,"2458",1,"1","4a",7,13,"7","13","c7r13",2018-05-31 16:37:00
0.661750485379055,"1675",1,"1","4b",8,13,"8","13","c8r13",2018-05-31 16:37:00
0.589529350567752,"2479",1,"1","4c",9,13,"9","13","c9r13",2018-05-31 16:37:00
0.688561675799904,"ler",1,"1","3a",1,14,"1","14","c1r14",2018-05-31 16:37:00
0.651106966001218,"2151",1,"1","3a",10,14,"10","14","c10r14",2018-05-31 16:37:00
0.669456587212544,"1989",1,"1","3b",11,14,"11","14","c11r14",2018-05-31 16:37:00
0.638534369443627,"1968",1,"1","3c",12,14,"12","14","c12r14",2018-05-31 16:37:00
0.662847445006758,"2440",1,"6","3a",13,14,"13","14","c13r14",2018-05-31 16:37:00
0.635983058346159,"2245",1,"6","3b",14,14,"14","14","c14r14",2018-05-31 16:37:00
0.652100803050093,"1378",1,"6","3c",15,14,"15","14","c15r14",2018-05-31 16:37:00
0.620262932513537,"1223",1,"6","3a",16,14,"16","14","c16r14",2018-05-31 16:37:00
0.635248640063464,"2372",1,"6","3b",17,14,"17","14","c17r14",2018-05-31 16:37:00
0.582539750087091,"1222",1,"6","3c",18,14,"18","14","c18r14",2018-05-31 16:37:00
0.686306260879432,"2244",1,"6","3a",19,14,"19","14","c19r14",2018-05-31 16:37:00
0.656988807533259,"1774",1,"1","3b",2,14,"2","14","c2r14",2018-05-31 16:37:00
0.591174461580585,"1166",1,"6","3b",20,14,"20","14","c20r14",2018-05-31 16:37:00
0.690255660041963,"2378",1,"6","3c",21,14,"21","14","c21r14",2018-05-31 16:37:00
