"newTrait","genotype","time","Sowing_Block","Image_pos","check","colNum","rowNum","colId","rowId","plotId","timePoint"
0.700666655329949,"886",1,"6","2a","noCheck",16,11,"16","11","c16r11",2018-05-31 16:37:00
0.672960914151471,"1587",1,"6","2b","noCheck",17,11,"17","11","c17r11",2018-05-31 16:37:00
0.701551414625445,"687",1,"6","2c","noCheck",18,11,"18","11","c18r11",2018-05-31 16:37:00
0.650444716654262,"736",1,"6","2a","noCheck",19,11,"19","11","c19r11",2018-05-31 16:37:00
0.622912107393035,"1166",1,"1","2b","noCheck",2,11,"2","11","c2r11",2018-05-31 16:37:00
0.704628840457806,"85",1,"6","2b","noCheck",20,11,"20","11","c20r11",2018-05-31 16:37:00
0.703896304080617,"1467",1,"6","2c","noCheck",21,11,"21","11","c21r11",2018-05-31 16:37:00
0.657211416170327,"1302",1,"6","2a","noCheck",22,11,"22","11","c22r11",2018-05-31 16:37:00
0.696015147735383,"1434",1,"6","2b","noCheck",23,11,"23","11","c23r11",2018-05-31 16:37:00
0.651292328437803,"1228",1,"6","2c","noCheck",24,11,"24","11","c24r11",2018-05-31 16:37:00
0.661732473337318,"1313",1,"1","2c","noCheck",3,11,"3","11","c3r11",2018-05-31 16:37:00
0.696026832511309,"1728",1,"1","2a","noCheck",4,11,"4","11","c4r11",2018-05-31 16:37:00
0.655649237416905,"2109",1,"1","2b","noCheck",5,11,"5","11","c5r11",2018-05-31 16:37:00
0.643599508177534,"2214",1,"1","2c","noCheck",6,11,"6","11","c6r11",2018-05-31 16:37:00
0.673142542063595,"1983",1,"1","2a","noCheck",7,11,"7","11","c7r11",2018-05-31 16:37:00
0.651703221381989,"1206",1,"1","2b","noCheck",8,11,"8","11","c8r11",2018-05-31 16:37:00
0.676628201458002,"1683",1,"1","2c","noCheck",9,11,"9","11","c9r11",2018-05-31 16:37:00
0.665937488255323,"1222",1,"1","1a","noCheck",1,12,"1","12","c1r12",2018-05-31 16:37:00
0.693331036995015,"1692",1,"1","1a","noCheck",10,12,"10","12","c10r12",2018-05-31 16:37:00
0.628008496501187,"2356",1,"1","1b","noCheck",11,12,"11","12","c11r12",2018-05-31 16:37:00
0.628215184894355,"1827",1,"1","1c","noCheck",12,12,"12","12","c12r12",2018-05-31 16:37:00
