"timeNumber","timePoint","Biomass_Estimated_corr","Biomass_Estimated","genotype","geno.decomp","colId","rowId","plotId"
5,2017-04-17,NA,NA,"GenoA57","WD_Panel1","16","12","c16r12"
5,2017-04-17,NA,NA,"GenoB6","WW_Panel2","17","12","c17r12"
5,2017-04-17,NA,NA,"GenoA2","WW_Panel1","18","12","c18r12"
5,2017-04-17,NA,NA,"GenoA24","WW_Panel1","19","12","c19r12"
5,2017-04-17,NA,NA,"GenoA56","WW_Panel1","22","1","c22r1"
5,2017-04-17,NA,NA,"GenoA13","WW_Panel1","2","12","c2r12"
5,2017-04-17,NA,NA,"GenoA42","WD_Panel1","20","12","c20r12"
5,2017-04-17,NA,NA,"GenoA46","WD_Panel1","21","12","c21r12"
5,2017-04-17,NA,NA,"GenoA20","WW_Panel1","22","12","c22r12"
5,2017-04-17,1.01985409947715,1.18454805019798,"GenoA29","WW_Panel1","23","12","c23r12"
5,2017-04-17,1.75200175763976,1.93303252256753,"GenoA31","WD_Panel1","24","12","c24r12"
5,2017-04-17,NA,NA,"GenoA40","WW_Panel1","25","12","c25r12"
5,2017-04-17,NA,NA,"GenoA31","WW_Panel1","26","12","c26r12"
5,2017-04-17,NA,NA,"GenoB18","WD_Panel2","27","12","c27r12"
5,2017-04-17,0.385604534677076,0.624412637126588,"GenoA8","WD_Panel1","28","12","c28r12"
5,2017-04-17,NA,NA,"GenoA33","WW_Panel1","23","1","c23r1"
5,2017-04-17,NA,NA,"GenoA27","WW_Panel1","3","12","c3r12"
5,2017-04-17,NA,NA,"GenoA7","WD_Panel1","24","1","c24r1"
5,2017-04-17,NA,NA,"GenoA17","WD_Panel1","4","12","c4r12"
5,2017-04-17,NA,NA,"GenoA53","WW_Panel1","25","1","c25r1"
5,2017-04-17,NA,NA,"GenoA22","WW_Panel1","5","12","c5r12"
5,2017-04-17,NA,NA,"GenoA48","WW_Panel1","26","1","c26r1"
5,2017-04-17,NA,NA,"GenoA28","WW_Panel1","6","12","c6r12"
5,2017-04-17,0.404353405313401,0.554461536544221,"GenoB5","WD_Panel2","27","1","c27r1"
5,2017-04-17,NA,NA,"GenoB30","WD_Panel2","7","12","c7r12"
5,2017-04-17,NA,NA,"GenoA45","WD_Panel1","28","1","c28r1"
5,2017-04-17,NA,NA,"GenoA54","WD_Panel1","8","12","c8r12"
5,2017-04-17,NA,NA,"GenoB28","WW_Panel2","9","12","c9r12"
5,2017-04-17,NA,NA,"GenoA22","WW_Panel1","3","1","c3r1"
5,2017-04-17,NA,NA,"GenoA8","WD_Panel1","1","13","c1r13"
5,2017-04-17,NA,NA,"GenoA48","WW_Panel1","10","13","c10r13"
5,2017-04-17,NA,NA,"GenoA4","WW_Panel1","11","13","c11r13"
5,2017-04-17,NA,NA,"GenoA11","WD_Panel1","12","13","c12r13"
5,2017-04-17,NA,NA,"GenoA51","WD_Panel1","13","13","c13r13"
5,2017-04-17,NA,NA,"GenoA47","WW_Panel1","14","13","c14r13"
5,2017-04-17,NA,NA,"GenoA28","WW_Panel1","15","13","c15r13"
5,2017-04-17,NA,NA,"GenoA32","WD_Panel1","16","13","c16r13"
5,2017-04-17,NA,NA,"GenoB9","WW_Panel2","17","13","c17r13"
5,2017-04-17,NA,NA,"GenoA30","WW_Panel1","18","13","c18r13"
5,2017-04-17,-0.00278342597533909,0.0486398244015781,"GenoA41","WW_Panel1","19","13","c19r13"
5,2017-04-17,NA,NA,"GenoA25","WW_Panel1","2","13","c2r13"
5,2017-04-17,NA,NA,"GenoA21","WD_Panel1","20","13","c20r13"
5,2017-04-17,NA,NA,"GenoA31","WD_Panel1","21","13","c21r13"
5,2017-04-17,NA,NA,"GenoA31","WW_Panel1","22","13","c22r13"
5,2017-04-17,NA,NA,"GenoA43","WW_Panel1","23","13","c23r13"
5,2017-04-17,NA,NA,"GenoA58","WD_Panel1","24","13","c24r13"
5,2017-04-17,NA,NA,"GenoA20","WW_Panel1","25","13","c25r13"
5,2017-04-17,NA,NA,"GenoA13","WW_Panel1","26","13","c26r13"
5,2017-04-17,NA,NA,"GenoB4","WD_Panel2","27","13","c27r13"
5,2017-04-17,NA,NA,"GenoA21","WD_Panel1","28","13","c28r13"
5,2017-04-17,NA,NA,"GenoA35","WW_Panel1","3","13","c3r13"
5,2017-04-17,NA,NA,"GenoA10","WD_Panel1","4","13","c4r13"
5,2017-04-17,NA,NA,"GenoA18","WW_Panel1","5","13","c5r13"
5,2017-04-17,NA,NA,"GenoA38","WW_Panel1","6","13","c6r13"
5,2017-04-17,NA,NA,"GenoB14","WD_Panel2","7","13","c7r13"
5,2017-04-17,0.593156494454007,0.450009089801736,"GenoA50","WD_Panel1","8","13","c8r13"
5,2017-04-17,NA,NA,"GenoB21","WW_Panel2","9","13","c9r13"
5,2017-04-17,NA,NA,"GenoA52","WD_Panel1","4","1","c4r1"
5,2017-04-17,NA,NA,"GenoA24","WD_Panel1","1","14","c1r14"
5,2017-04-17,NA,NA,"GenoA30","WW_Panel1","10","14","c10r14"
5,2017-04-17,NA,NA,"GenoA26","WW_Panel1","11","14","c11r14"
5,2017-04-17,NA,NA,"GenoA22","WD_Panel1","12","14","c12r14"
5,2017-04-17,NA,NA,"GenoA38","WD_Panel1","13","14","c13r14"
5,2017-04-17,NA,NA,"GenoA59","WW_Panel1","14","14","c14r14"
5,2017-04-17,NA,NA,"GenoA49","WW_Panel1","15","14","c15r14"
5,2017-04-17,NA,NA,"GenoA30","WD_Panel1","16","14","c16r14"
5,2017-04-17,NA,NA,"GenoB13","WW_Panel2","17","14","c17r14"
5,2017-04-17,NA,NA,"GenoA54","WW_Panel1","18","14","c18r14"
