"timeNumber","timePoint","LeafArea_corr","LeafArea","wt","genotype","geno.decomp","rowId","colId","plotId"
1,2017-04-13,0.00285163545681183,0.002505988,2264.15336709601,"GenoA10","WD_Panel1","56","28","c28r56"
1,2017-04-13,0.00335981920638469,0.003146387,2264.15336709601,"GenoA10","WD_Panel1","55","21","c21r55"
1,2017-04-13,0.00280459687132875,0.003080432,2261.70885583601,"GenoA11","WD_Panel1","6","21","c21r6"
1,2017-04-13,0.00227935266313358,0.002575355,2261.70885583601,"GenoA11","WD_Panel1","5","24","c24r5"
1,2017-04-13,0.00240434979247931,0.002132448,2261.70885583601,"GenoA11","WD_Panel1","57","16","c16r57"
1,2017-04-13,0.00198178620827319,0.00205261,2261.70885583601,"GenoA11","WD_Panel1","10","28","c28r10"
1,2017-04-13,0.00219421447813969,0.002055503,2261.70885583601,"GenoA11","WD_Panel1","54","20","c20r54"
1,2017-04-13,0.00213438737203613,0.001957006,2263.58582898219,"GenoA12","WD_Panel1","40","28","c28r40"
1,2017-04-13,0.00203835590612262,0.001831227,2263.58582898219,"GenoA12","WD_Panel1","38","21","c21r38"
1,2017-04-13,0.00200719211294454,0.002264437,2263.58582898219,"GenoA12","WD_Panel1","15","20","c20r15"
1,2017-04-13,0.00262786810063541,0.002919625,2263.58582898219,"GenoA12","WD_Panel1","14","24","c24r14"
1,2017-04-13,0.00261978045796896,0.002582529,2263.58582898219,"GenoA12","WD_Panel1","30","16","c16r30"
1,2017-04-13,0.00270789028191048,0.00262522,2226.21182021113,"GenoA13","WD_Panel1","36","24","c24r36"
1,2017-04-13,0.00249255764454004,0.002391738,2226.21182021113,"GenoA13","WD_Panel1","26","28","c28r26"
1,2017-04-13,0.00316335716232505,0.003286759,2226.21182021113,"GenoA13","WD_Panel1","22","21","c21r22"
1,2017-04-13,0.003048720960852,0.002857824,2226.21182021113,"GenoA13","WD_Panel1","51","20","c20r51"
1,2017-04-13,0.00273523498528377,0.002489555,2263.35495335185,"GenoA14","WD_Panel1","53","21","c21r53"
1,2017-04-13,0.00262798302670824,0.002541939,2263.35495335185,"GenoA14","WD_Panel1","35","16","c16r35"
1,2017-04-13,0.00247545947942263,0.002718436,2263.35495335185,"GenoA14","WD_Panel1","18","24","c24r18"
1,2017-04-13,0.00301795559953203,0.002936569,2263.35495335185,"GenoA14","WD_Panel1","25","28","c28r25"
1,2017-04-13,0.00250398986226099,0.002422282,2263.35495335185,"GenoA14","WD_Panel1","38","20","c20r38"
1,2017-04-13,0.00316937994324759,0.003228061,2261.56727986868,"GenoA15","WD_Panel1","30","21","c21r30"
1,2017-04-13,0.0034972962714294,0.003811062,2261.56727986868,"GenoA15","WD_Panel1","1","16","c16r1"
1,2017-04-13,0.00320337772988241,0.00348957,2261.56727986868,"GenoA15","WD_Panel1","7","24","c24r7"
1,2017-04-13,0.00222810462085662,0.001966921,2261.56727986868,"GenoA15","WD_Panel1","50","28","c28r50"
1,2017-04-13,0.00314461051254732,0.003537497,2261.56727986868,"GenoA15","WD_Panel1","8","20","c20r8"
1,2017-04-13,0.00257612448848024,0.002853119,2263.94152809797,"GenoA16","WD_Panel1","7","16","c16r7"
1,2017-04-13,0.00288561091717115,0.003105716,2263.94152809797,"GenoA16","WD_Panel1","20","24","c24r20"
1,2017-04-13,0.00245889897898334,0.002734963,2263.94152809797,"GenoA16","WD_Panel1","7","21","c21r7"
1,2017-04-13,0.00247169618785738,0.002242813,2263.94152809797,"GenoA16","WD_Panel1","49","20","c20r49"
1,2017-04-13,0.00288529760465453,0.00268131,2263.94152809797,"GenoA16","WD_Panel1","47","28","c28r47"
1,2017-04-13,0.00123269948848019,0.001087095,2223.58181206442,"GenoA17","WD_Panel1","36","28","c28r36"
1,2017-04-13,0.000322236313515751,0.000128281,2223.58181206442,"GenoA17","WD_Panel1","43","16","c16r43"
1,2017-04-13,0.00165384640357838,0.00140279,2223.58181206442,"GenoA17","WD_Panel1","46","20","c20r46"
1,2017-04-13,0.00124938680211416,0.000872756,2223.58181206442,"GenoA17","WD_Panel1","46","21","c21r46"
1,2017-04-13,0.00244353387275014,0.002082844,2224.57353962499,"GenoA18","WD_Panel1","58","28","c28r58"
1,2017-04-13,0.00255893219321507,0.00229233,2224.57353962499,"GenoA18","WD_Panel1","53","16","c16r53"
1,2017-04-13,0.00312976580763906,0.003065116,2224.57353962499,"GenoA18","WD_Panel1","57","24","c24r57"
1,2017-04-13,0.00199659110226763,0.001673543,2224.57353962499,"GenoA18","WD_Panel1","43","21","c21r43"
1,2017-04-13,0.00427611254595614,0.00405109,2262.8223053986,"GenoA19","WD_Panel1","49","16","c16r49"
1,2017-04-13,0.00377604628696653,0.003691423,2262.8223053986,"GenoA19","WD_Panel1","58","20","c20r58"
1,2017-04-13,0.00322797849680288,0.00290996,2262.8223053986,"GenoA19","WD_Panel1","53","28","c28r53"
1,2017-04-13,0.00393253696902331,0.004035419,2262.8223053986,"GenoA19","WD_Panel1","29","24","c24r29"
1,2017-04-13,0.00353308039423688,0.003358992,2262.8223053986,"GenoA19","WD_Panel1","36","21","c21r36"
1,2017-04-13,0.00260645164080661,0.002466277,2262.97020368556,"GenoA20","WD_Panel1","31","28","c28r31"
1,2017-04-13,0.00275938024180562,0.002714977,2262.97020368556,"GenoA20","WD_Panel1","59","24","c24r59"
1,2017-04-13,0.00224121241489347,0.001972251,2262.97020368556,"GenoA20","WD_Panel1","52","21","c21r52"
1,2017-04-13,0.0030732785191535,0.002800812,2262.97020368556,"GenoA20","WD_Panel1","56","16","c16r56"
1,2017-04-13,0.00199028162149894,0.001785854,2262.97020368556,"GenoA20","WD_Panel1","43","20","c20r43"
1,2017-04-13,0.00372527621493578,0.004024737,2263.61477112159,"GenoA21","WD_Panel1","4","16","c16r4"
1,2017-04-13,0.00389924636538306,0.003963341,2263.61477112159,"GenoA21","WD_Panel1","13","28","c28r13"
1,2017-04-13,0.00362019494951126,0.003442531,2263.61477112159,"GenoA21","WD_Panel1","52","24","c24r52"
1,2017-04-13,0.00364263537245521,0.003296527,2263.61477112159,"GenoA21","WD_Panel1","49","21","c21r49"
1,2017-04-13,0.00300923432173384,0.003301404,2263.61477112159,"GenoA21","WD_Panel1","13","20","c20r13"
1,2017-04-13,0.00342773368253659,0.003188919,2263.8663822284,"GenoA22","WD_Panel1","49","28","c28r49"
1,2017-04-13,0.0027816780588454,0.002531735,2263.8663822284,"GenoA22","WD_Panel1","49","24","c24r49"
1,2017-04-13,0.00256974820148356,0.002919611,2263.8663822284,"GenoA22","WD_Panel1","2","20","c20r2"
1,2017-04-13,0.00266338743650943,0.002643875,2263.8663822284,"GenoA22","WD_Panel1","28","16","c16r28"
1,2017-04-13,0.00280095406275664,0.002978745,2263.8663822284,"GenoA22","WD_Panel1","14","21","c21r14"
1,2017-04-13,0.00268987049603466,0.00258837,2262.32120255739,"GenoA23","WD_Panel1","37","24","c24r37"
1,2017-04-13,0.00389195399196835,0.003712156,2262.32120255739,"GenoA23","WD_Panel1","43","28","c28r43"
1,2017-04-13,0.00271107173121894,0.002929019,2262.32120255739,"GenoA23","WD_Panel1","28","20","c20r28"
1,2017-04-13,0.00296018610151446,0.002700369,2262.32120255739,"GenoA23","WD_Panel1","52","16","c16r52"
1,2017-04-13,0.00383676632848717,0.00397284,2262.32120255739,"GenoA23","WD_Panel1","26","21","c21r26"
1,2017-04-13,0.00296767333808997,0.002906775,2262.64804341651,"GenoA24","WD_Panel1","59","20","c20r59"
1,2017-04-13,0.00318611141343704,0.003228137,2262.64804341651,"GenoA24","WD_Panel1","18","28","c28r18"
1,2017-04-13,0.00312046105890852,0.003113416,2262.64804341651,"GenoA24","WD_Panel1","27","16","c16r27"
