"Time","TrtGeno","predicted.values","standard.errors"
1,"WD_GenoA1",0.00275433536665627,0.000180595027042159
1,"WD_GenoA10",0.00312358364995856,0.000179616122294337
1,"WD_GenoA11",0.00235224284479235,0.000180927830330861
1,"WD_GenoA12",0.00231761406030166,0.000180005065842895
1,"WD_GenoA13",0.00283568989432235,0.000198494260736928
1,"WD_GenoA14",0.00266852665283798,0.000180117405294941
1,"WD_GenoA15",0.00299991567637867,0.000180990096585764
1,"WD_GenoA16",0.0026422302856555,0.000179770873094048
1,"WD_GenoA17",0.00129170487614692,0.000199666757022941
1,"WD_GenoA18",0.00253049265184926,0.00019912255817331
1,"WD_GenoA19",0.00364415488562842,0.000180263121262951
1,"WD_GenoA2",0.0027754533310985,0.00018031667727408
1,"WD_GenoA20",0.00254171620444971,0.000180182393128031
1,"WD_GenoA21",0.00348192130376928,0.000179909051978139
1,"WD_GenoA22",0.00281909515745095,0.000179758496815956
1,"WD_GenoA23",0.00316657593049062,0.000180594999555949
1,"WD_GenoA24",0.00298445873873189,0.000180290225491334
1,"WD_GenoA25",0.00198023700441554,0.000180225297270385
1,"WD_GenoA26",0.00317761682079587,0.00018008880606721
1,"WD_GenoA27",0.00176189589773472,0.000180151497431614
1,"WD_GenoA28",0.00279051314139754,0.000180691216324628
1,"WD_GenoA29",0.00245291085324677,0.000180161644740039
1,"WD_GenoA3",0.00256595345833536,0.000180093449918086
1,"WD_GenoA30",0.00290300835106969,0.000180063944674658
1,"WD_GenoA31",0.00423417712269307,0.00018067978386734
1,"WD_GenoA32",0.00309837130699123,0.000180404136004328
1,"WD_GenoA33",0.00307855863915868,0.000180108542741102
1,"WD_GenoA34",0.00249514591153495,0.000180317423279913
1,"WD_GenoA35",0.00209230726915002,0.000179927741638737
1,"WD_GenoA36",0.000747201554460474,0.00018038621386055
1,"WD_GenoA37",0.00236054599239822,0.000179980881101041
1,"WD_GenoA38",0.00231875900580828,0.000180340956723986
1,"WD_GenoA39",0.00234079505053006,0.000180059051975881
1,"WD_GenoA4",0.00183420789868985,0.000179909968647354
1,"WD_GenoA40",0.00240497121315582,0.000199471165779467
1,"WD_GenoA41",0.00243450249554915,0.00018004157961687
1,"WD_GenoA42",0.00273353144852664,0.000179654358238715
1,"WD_GenoA43",0.0021444498853654,0.000198377565425325
1,"WD_GenoA44",0.0028729070631839,0.000180463084364659
1,"WD_GenoA45",0.00224961514689475,0.000181240970158387
1,"WD_GenoA46",0.00285911820235431,0.000198555635752414
1,"WD_GenoA47",0.00299645874909684,0.000181348834173822
1,"WD_GenoA48",0.00308328192438628,0.000180348960682889
1,"WD_GenoA49",0.0028654508600088,0.00019879278814644
1,"WD_GenoA5",0.00261744774275903,0.000180053376536435
1,"WD_GenoA50",0.0029823555018288,0.000180078030742682
1,"WD_GenoA51",0.00303156976800033,0.000180159997046331
1,"WD_GenoA52",0.00249688101966214,0.000180146069880234
1,"WD_GenoA53",0.00265682684736596,0.000179700819884002
1,"WD_GenoA54",0.00251934309892936,0.000181302948164168
1,"WD_GenoA55",0.00199503026693188,0.000180285649912259
